date,cnn_fng,vix,vvix,skew,nasdaq_close,kospi_close,sp500_close,russell2k_close,soxx_close,nasdaq_52w_high,kospi_52w_high,sp500_52w_high,russell2k_52w_high,soxx_52w_high,nasdaq_drop_pct,kospi_drop_pct,sp500_drop_pct,russell2k_drop_pct,soxx_drop_pct,tqqq_close,soxl_close,koru_close,smh_close,qqq_close,ewy_close,cnn_trigger,vix_trigger,margin_trigger,signal_count,sell_leverage_trigger,sell_leading_trigger,sell_expert_trigger,sell_signal_count,ratio_cash,ratio_core,ratio_sat,memo,stage
2025-06-23,56.6,19.83,104.32,154.78,19630.97,3014.47,6025.17,2132.68,225.57,19714.99,3021.84,6045.26,2156.41,226.49,-0.43,-0.24,-0.33,-1.1,-0.41,37.09,21.51,73.04,261.11,529.68,67.9,0,0,0,0,0,0,0,0,,,,,normal
2025-06-24,57.89,17.48,92.29,154.97,19912.53,3103.64,6092.18,2161.21,234.12,19912.53,3103.64,6092.18,2161.21,234.12,0.0,0.0,0.0,0.0,0.0,38.78,23.94,83.32,270.7,537.78,71.05,0,0,0,0,0,0,0,0,,,,,normal
2025-06-25,59.26,16.76,89.65,152.24,19973.55,3108.25,6092.16,2136.18,236.22,19973.55,3108.25,6092.18,2161.21,236.22,0.0,0.0,-0.0,-1.16,0.0,39.08,24.57,82.46,274.35,539.16,70.78,0,0,0,0,0,0,0,0,,,,,normal
2025-06-26,63.0,16.59,89.6,147.46,20167.91,3079.56,6141.02,2172.11,238.07,20167.91,3108.25,6141.02,2172.11,238.07,0.0,-0.92,0.0,0.0,0.0,40.15,25.19,80.9,276.34,544.2,70.36,0,0,0,0,0,0,0,0,,,,,normal
2025-06-27,64.8,16.32,91.84,143.44,20273.46,3055.94,6173.07,2172.53,237.86,20273.46,3108.25,6173.07,2172.53,238.07,0.0,-1.68,0.0,0.0,-0.09,40.54,25.1,76.76,277.56,546.06,69.19,0,0,0,0,0,0,0,0,,,,,normal
2025-06-30,69.23,16.73,89.74,139.65,20369.73,3071.7,6204.95,2175.04,237.7,20369.73,3108.25,6204.95,2175.04,238.07,0.0,-1.18,0.0,0.0,-0.16,41.33,25.1,80.07,278.01,549.6,70.2,0,0,0,0,0,0,0,0,,,,,normal
2025-07-01,67.54,16.83,89.54,140.07,20202.89,3089.65,6198.01,2197.54,236.63,20369.73,3108.25,6204.95,2197.54,238.07,-0.82,-0.6,-0.11,0.0,-0.6,40.28,24.7,79.51,274.98,544.97,70.07,0,0,0,0,0,0,0,0,,,,,normal
2025-07-02,63.71,16.64,89.8,139.28,20393.13,3075.06,6227.42,2226.38,241.13,20393.13,3108.25,6227.42,2226.38,241.13,0.0,-1.07,0.0,0.0,0.0,41.08,26.04,80.67,280.38,548.76,70.37,0,0,0,0,0,0,0,0,,,,,normal
2025-07-03,77.63,16.38,90.6,141.36,20601.1,3116.27,6279.35,2249.04,242.32,20601.1,3116.27,6279.35,2249.04,242.32,0.0,0.0,0.0,0.0,0.0,42.23,26.42,82.88,282.74,554.16,71.1,0,0,0,0,0,0,0,0,,,,,normal
2025-07-07,75.09,17.79,96.3,137.96,20412.52,3059.47,6229.98,2214.23,237.78,20601.1,3116.27,6279.35,2249.04,242.32,-0.92,-1.82,-0.79,-1.55,-1.87,41.29,24.96,74.22,278.89,549.99,68.53,0,0,0,0,0,0,0,0,,,,,normal
2025-07-08,74.63,16.81,91.31,140.8,20418.46,3114.95,6225.52,2228.74,242.32,20601.1,3116.27,6279.35,2249.04,242.32,-0.89,-0.04,-0.86,-0.9,0.0,41.34,26.36,80.21,282.6,550.3,70.5,0,0,0,0,0,0,0,0,,,,,normal
2025-07-09,75.91,15.94,91.76,141.75,20611.34,3133.74,6263.26,2252.49,243.1,20611.34,3133.74,6279.35,2252.49,243.1,0.0,0.0,-0.26,0.0,0.0,42.2,26.64,80.28,284.53,554.19,70.5,0,0,0,0,0,0,0,0,,,,,normal
2025-07-10,76.97,15.78,90.94,143.32,20630.66,3183.23,6280.46,2263.41,245.52,20630.66,3183.23,6280.46,2263.41,245.52,0.0,0.0,0.0,0.0,0.0,42.0,27.36,83.77,286.63,553.4,71.53,0,0,0,0,0,0,0,0,,,,,normal
